"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"177",100,95,"t",2,"t","Manhattan","Entire home/apt",6,2,2,3,657.770212765957,499,300,6,6,98,10,10,10,"0"
"178",100,100,"f",2,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,43,25,5,0,89,8,8,9,"0"
"180",100,100,"f",12,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,149,75.4034656056957,1,3,84,9,9,8,"0"
"181",84,76,"f",89,"t","Manhattan","Entire home/apt",3,1,0,1,657.770212765957,120,75.4034656056957,30,3,91,10,9,9,"0"
"182",100,85,"f",1,"f","Staten Island","Private room",2,1,1,1,657.770212765957,50,75.4034656056957,1,44,95,8,10,9,"0"
"183",100,98,"t",2,"f","Manhattan","Private room",1,1,1,1,657.770212765957,50,20,2,34,98,10,9,10,"0"
"184",100,98,"f",4,"f","Brooklyn","Entire home/apt",5,1,2,3,657.770212765957,70,60,2,40,91,9,9,9,"1"
"185",100,88,"t",3,"t","Queens","Private room",2,1,1,1,657.770212765957,59,6,2,24,95,10,9,10,"0"
"186",100,64,"t",1,"t","Brooklyn","Entire home/apt",2,1,0,1,657.770212765957,165,60,4,4,96,9,10,10,"0"
"187",100,44,"t",2,"t","Brooklyn","Private room",2,1.5,1,2,657.770212765957,49,30,2,1,91,9,9,9,"0"
"188",89.3037155669443,46,"f",1,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,70,20,3,1,86,8,9,9,"0"
"189",89.3037155669443,33,"f",1,"t","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,219,55,2,2,100,10,10,10,"0"
"190",89.3037155669443,89,"f",1,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,55,50,1,5,91,10,9,8,"0"
"191",100,99,"t",14,"f","Brooklyn","Private room",3,2,1,1,657.770212765957,65,25,1,65,95,9,10,10,"1"
"192",89.3037155669443,89,"t",1,"t","Brooklyn","Private room",2,1,1,1,657.770212765957,96,75.4034656056957,3,6,96,10,9,10,"0"
"193",100,56,"f",0,"f","Brooklyn","Private room",3,1,1,0,657.770212765957,70,75.4034656056957,1,1,93,9,9,9,"0"
"194",89.3037155669443,14,"f",2,"f","Manhattan","Entire home/apt",8,1.5,3,5,657.770212765957,500,150,28,2,91,9,10,9,"0"
"195",83,92,"f",2,"t","Brooklyn","Entire home/apt",2,1,1,1,657.770212765957,56,30,28,17,93,9,10,9,"1"
"196",89.3037155669443,81.0127222784444,"f",1,"t","Manhattan","Entire home/apt",2,1,1,2,657.770212765957,250,120,179,0,95,9,10,10,"0"
"197",89.3037155669443,100,"f",1,"f","Brooklyn","Private room",1,1,1,1,657.770212765957,45,20,4,12,91,8,10,9,"0"
"198",100,79,"f",3,"t","Brooklyn","Entire home/apt",5,1,3,3,657.770212765957,195,125,3,23,90,9,10,9,"1"
"199",100,95,"t",1,"f","Manhattan","Entire home/apt",4,1,0,0,657.770212765957,50,75,30,31,98,10,9,10,"1"
"200",100,50,"f",3,"f","Brooklyn","Private room",2,1,1,1,657.770212765957,55,0,3,3,100,9,8,9,"0"
"201",75,32,"f",3,"t","Manhattan","Entire home/apt",3,1,2,3,657.770212765957,100,0,2,0,88,7,10,9,"0"
"202",100,77,"t",1,"t","Bronx","Entire home/apt",2,1,1,1,657.770212765957,88,50,1,18,97,9,9,10,"1"
"203",86,100,"t",1,"t","Bronx","Entire home/apt",4,1,1,2,657.770212765957,85,360,20,4,97,9,9,10,"0"
"204",89.3037155669443,47,"f",1,"f","Brooklyn","Private room",1,1,1,1,657.770212765957,65,75.4034656056957,7,4,95,9,10,9,"0"
"206",89.3037155669443,25,"f",1,"t","Brooklyn","Private room",1,1,1,1,657.770212765957,45,20,3,3,98,10,10,10,"0"
"207",100,100,"f",11,"f","Manhattan","Private room",1,1,1,1,657.770212765957,85,8,1,23,88,9,10,9,"0"
